word,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,cmv_concrete,cmv_valence,cmv_arousal,cmv_dominance
acme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
acoustic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28,7.1,4.0,5.79
acoustics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,6.33,3.19,5.86
acquaint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,5.063900388098289,4.21066551674573,5.184823199655046
acquaintance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,5.58,3.24,5.29
acquainted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,5.063900388098289,4.21066551674573,5.184823199655046
acquiescence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
acquire,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.93,5.5,4.86,7.0
acquiring,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
acquisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,5.0,4.36,5.93
acquisitions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
acreage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.25,3.74,5.52
acres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
acrobat,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.46,6.0,4.9,5.42
act,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,5.64,4.19,6.11
acting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,5.063900388098289,4.21066551674573,5.184823199655046
action,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.86,6.0,6.19,6.17
actionable,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.04,5.063900388098289,4.21066551674573,5.184823199655046
active,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32,6.47,5.62,6.32
activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72,6.21,4.86,6.45
actor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57,6.15,4.35,5.64
actual,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.22,6.22,2.75,5.54
actuality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,5.4,5.55,5.24
actuary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
acuity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
acumen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
acupuncture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83,4.81,4.9,4.77
acutely,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,5.063900388098289,4.21066551674573,5.184823199655046
adage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,5.55,3.38,5.13
adamant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,5.45,5.74,6.38
adapt,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.41,5.84,3.9,5.75
adaptable,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.85,5.063900388098289,4.21066551674573,5.184823199655046
add,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.23,4.0,6.79
added,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,5.063900388098289,4.21066551674573,5.184823199655046
addendum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,5.063900388098289,4.21066551674573,5.184823199655046
adder,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0362981503266133,4.45,3.24,4.41
addiction,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.85,3.52,4.48,3.84
addition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,5.063900388098289,4.21066551674573,5.184823199655046
additional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,6.15,3.61,4.95
additive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,5.063900388098289,4.21066551674573,5.184823199655046
